Treatment,Change,delta,delta_ba_m2hayr
Control,Growth,17.18941576456748,1.0111421037980872
Control,Mortality,-6.902055683256187,-0.406003275485658
Control,Harvest,0,0
Mech,Growth,13.396256477184979,0.7880150868932341
Mech,Mortality,-7.491328381768626,-0.44066637539815445
Mech,Harvest,-4.327240577078578,-0.2545435633575634
Fire,Growth,13.914547575816306,0.8185027985774297
Fire,Mortality,-11.460154805539407,-0.674126753267024
Fire,Harvest,0,0
Mech+Fire,Growth,8.866833859204812,0.5215784623061654
Mech+Fire,Mortality,-12.418463081932282,-0.7304978283489578
Mech+Fire,Harvest,-2.6454806320488395,-0.1556165077675788
